#  Floyd County, Texas Average Temperature
# Units: Degrees Fahrenheit
# Base Period: 1992-2020
# Missing: -99
Date,Value,Anomaly
199201,39.1,-1.1
199202,47.8,4.2
199203,53.6,1.9
199204,60.0,0.8
199205,64.9,-3.4
199206,72.4,-4.5
199207,77.8,-2.3
199208,74.3,-4.4
199209,70.9,-0.5
199210,62.6,1.8
199211,45.1,-4.3
199212,39.6,-1.5
199301,36.2,-4.0
199302,40.0,-3.6
199303,48.9,-2.8
199304,57.4,-1.8
199305,66.7,-1.6
199306,75.9,-1.0
199307,81.1,1.0
199308,78.1,-0.6
199309,69.5,-1.9
199310,58.0,-2.8
199311,43.6,-5.8
199312,42.4,1.3
199401,39.8,-0.4
199402,40.1,-3.5
199403,52.1,0.4
199404,58.4,-0.8
199405,66.0,-2.3
199406,80.5,3.6
199407,79.8,-0.3
199408,78.0,-0.7
199409,70.9,-0.5
199410,61.4,0.6
199411,49.9,0.5
199412,44.6,3.5
199501,41.6,1.4
199502,46.8,3.2
199503,49.9,-1.8
199504,57.4,-1.8
199505,65.0,-3.3
199506,73.6,-3.3
199507,79.9,-0.2
199508,77.6,-1.1
199509,69.3,-2.1
199510,60.8,0.0
199511,51.2,1.8
199512,42.1,1.0
199601,39.4,-0.8
199602,46.1,2.5
199603,46.4,-5.3
199604,59.6,0.4
199605,74.5,6.2
199606,77.4,0.5
199607,78.9,-1.2
199608,76.5,-2.2
199609,68.1,-3.3
199610,59.9,-0.9
199611,48.5,-0.9
199612,43.1,2.0
199701,38.1,-2.1
199702,41.3,-2.3
199703,52.8,1.1
199704,52.7,-6.5
199705,64.8,-3.5
199706,73.0,-3.9
199707,79.5,-0.6
199708,77.3,-1.4
199709,73.3,1.9
199710,60.3,-0.5
199711,45.6,-3.8
199712,38.0,-3.1
199801,43.6,3.4
199802,44.2,0.6
199803,46.8,-4.9
199804,56.5,-2.7
199805,72.9,4.6
199806,80.5,3.6
199807,84.0,3.9
199808,78.3,-0.4
199809,76.6,5.2
199810,63.5,2.7
199811,51.5,2.1
199812,41.5,0.4
199901,42.8,2.6
199902,50.5,6.9
199903,49.1,-2.6
199904,58.7,-0.5
199905,65.4,-2.9
199906,74.5,-2.4
199907,80.5,0.4
199908,81.8,3.1
199909,69.6,-1.8
199910,60.6,-0.2
199911,55.8,6.4
199912,42.2,1.1
200001,43.3,3.1
200002,50.0,6.4
200003,53.4,1.7
200004,60.2,1.0
200005,72.8,4.5
200006,73.6,-3.3
200007,80.9,0.8
200008,81.4,2.7
200009,74.4,3.0
200010,61.9,1.1
200011,42.4,-7.0
200012,35.2,-5.9
200101,36.8,-3.4
200102,44.2,0.6
200103,47.3,-4.4
200104,62.8,3.6
200105,68.7,0.4
200106,78.6,1.7
200107,84.1,4.0
200108,79.0,0.3
200109,70.6,-0.8
200110,61.1,0.3
200111,52.6,3.2
200112,43.3,2.2
200201,41.7,1.5
200202,41.3,-2.3
200203,47.7,-4.0
200204,60.5,1.3
200205,67.9,-0.4
200206,77.7,0.8
200207,78.5,-1.6
200208,79.9,1.2
200209,71.4,0.0
200210,57.0,-3.8
200211,46.5,-2.9
200212,41.1,0.0
200301,41.5,1.3
200302,41.2,-2.4
200303,52.2,0.5
200304,61.8,2.6
200305,69.6,1.3
200306,72.6,-4.3
200307,81.3,1.2
200308,81.0,2.3
200309,69.4,-2.0
200310,64.1,3.3
200311,50.0,0.6
200312,43.8,2.7
200401,41.8,1.6
200402,40.8,-2.8
200403,55.4,3.7
200404,58.8,-0.4
200405,71.4,3.1
200406,74.7,-2.2
200407,77.1,-3.0
200408,74.7,-4.0
200409,69.9,-1.5
200410,62.0,1.2
200411,47.0,-2.4
200412,41.8,0.7
200501,42.8,2.6
200502,45.2,1.6
200503,49.1,-2.6
200504,58.6,-0.6
200505,66.6,-1.7
200506,76.9,0.0
200507,78.4,-1.7
200508,76.4,-2.3
200509,75.0,3.6
200510,61.6,0.8
200511,51.3,1.9
200512,40.2,-0.9
200601,46.4,6.2
200602,43.6,0.0
200603,53.0,1.3
200604,64.4,5.2
200605,71.8,3.5
200606,78.5,1.6
200607,81.8,1.7
200608,79.1,0.4
200609,67.3,-4.1
200610,60.2,-0.6
200611,51.3,1.9
200612,40.6,-0.5
200701,34.8,-5.4
200702,41.6,-2.0
200703,55.6,3.9
200704,53.8,-5.4
200705,65.3,-3.0
200706,73.1,-3.8
200707,76.1,-4.0
200708,78.5,-0.2
200709,72.4,1.0
200710,63.7,2.9
200711,50.3,0.9
200712,40.4,-0.7
200801,39.5,-0.7
200802,44.9,1.3
200803,51.2,-0.5
200804,58.3,-0.9
200805,68.4,0.1
200806,79.6,2.7
200807,78.3,-1.8
200808,76.7,-2.0
200809,67.9,-3.5
200810,60.0,-0.8
200811,51.1,1.7
200812,41.1,0.0
200901,40.7,0.5
200902,48.6,5.0
200903,54.2,2.5
200904,58.9,-0.3
200905,67.2,-1.1
200906,77.5,0.6
200907,79.6,-0.5
200908,78.9,0.2
200909,68.7,-2.7
200910,56.2,-4.6
200911,52.8,3.4
200912,35.3,-5.8
201001,37.4,-2.8
201002,36.8,-6.8
201003,49.7,-2.0
201004,59.5,0.3
201005,67.0,-1.3
201006,79.7,2.8
201007,76.9,-3.2
201008,79.6,0.9
201009,73.5,2.1
201010,62.8,2.0
201011,49.6,0.2
201012,43.5,2.4
201101,37.9,-2.3
201102,40.0,-3.6
201103,54.2,2.5
201104,63.7,4.5
201105,69.0,0.7
201106,84.4,7.5
201107,85.7,5.6
201108,86.1,7.4
201109,71.4,0.0
201110,61.2,0.4
201111,49.4,0.0
201112,37.4,-3.7
201201,43.8,3.6
201202,43.0,-0.6
201203,57.4,5.7
201204,65.7,6.5
201205,72.4,4.1
201206,78.6,1.7
201207,81.2,1.1
201208,79.4,0.7
201209,71.6,0.2
201210,58.8,-2.0
201211,54.0,4.6
201212,42.9,1.8
201301,39.6,-0.6
201302,41.9,-1.7
201303,51.2,-0.5
201304,55.6,-3.6
201305,68.8,0.5
201306,78.8,1.9
201307,77.2,-2.9
201308,78.8,0.1
201309,73.7,2.3
201310,60.8,0.0
201311,46.9,-2.5
201312,37.5,-3.6
201401,38.0,-2.2
201402,38.8,-4.8
201403,47.9,-3.8
201404,59.4,0.2
201405,68.0,-0.3
201406,76.1,-0.8
201407,77.1,-3.0
201408,78.5,-0.2
201409,70.1,-1.3
201410,63.0,2.2
201411,44.6,-4.8
201412,42.9,1.8
201501,37.5,-2.7
201502,42.2,-1.4
201503,50.4,-1.3
201504,60.4,1.2
201505,64.0,-4.3
201506,75.4,-1.5
201507,79.2,-0.9
201508,77.9,-0.8
201509,75.2,3.8
201510,62.8,2.0
201511,49.9,0.5
201512,43.4,2.3
201601,39.7,-0.5
201602,47.5,3.9
201603,55.8,4.1
201604,59.7,0.5
201605,65.3,-3.0
201606,77.0,0.1
201607,82.9,2.8
201608,77.2,-1.5
201609,71.8,0.4
201610,65.6,4.8
201611,54.5,5.1
201612,40.5,-0.6
201701,41.1,0.9
201702,49.9,6.3
201703,56.8,5.1
201704,60.0,0.8
201705,66.5,-1.8
201706,77.4,0.5
201707,80.4,0.3
201708,74.8,-3.9
201709,70.9,-0.5
201710,60.6,-0.2
201711,52.9,3.5
201712,41.3,0.2
201801,37.8,-2.4
201802,43.1,-0.5
201803,54.8,3.1
201804,56.7,-2.5
201805,75.7,7.4
201806,79.8,2.9
201807,80.9,0.8
201808,79.1,0.4
201809,70.8,-0.6
201810,58.0,-2.8
201811,45.0,-4.4
201812,40.0,-1.1
201901,40.8,0.6
201902,42.9,-0.7
201903,47.6,-4.1
201904,58.9,-0.3
201905,65.0,-3.3
201906,74.6,-2.3
201907,79.8,-0.3
201908,82.6,3.9
201909,76.7,5.3
201910,55.7,-5.1
201911,45.1,-4.3
201912,44.2,3.1
202001,43.4,3.2
202002,40.3,-3.3
202003,54.5,2.8
202004,57.5,-1.7
202005,70.2,1.9
202006,78.0,1.1
202007,83.7,3.6
202008,81.0,2.3
202009,68.3,-3.1
202010,58.6,-2.2
202011,54.1,4.7
202012,41.8,0.7
